algorithm,subject,run_id,fitness_value,students_attending,percentage,execution_time,start_time,end_time,solution_file
SA,INF295,1,50.00000000000001,52,98.11320754716981,0.15840482711791992,2026-02-16T17:05:40.353700,2026-02-16T17:05:40.512104,sa_INF295_run_01.csv
SA,INF295,2,50.279999999999994,52,98.11320754716981,0.15007519721984863,2026-02-16T17:05:40.512468,2026-02-16T17:05:40.662544,sa_INF295_run_02.csv
SA,INF295,3,50.596666666666664,53,100.0,0.14409899711608887,2026-02-16T17:05:40.663321,2026-02-16T17:05:40.807422,sa_INF295_run_03.csv
SA,INF295,4,50.00000000000001,52,98.11320754716981,0.15004611015319824,2026-02-16T17:05:40.807750,2026-02-16T17:05:40.957797,sa_INF295_run_04.csv
SA,INF295,5,50.00000000000001,52,98.11320754716981,0.16118502616882324,2026-02-16T17:05:40.958130,2026-02-16T17:05:41.119317,sa_INF295_run_05.csv
SA,INF295,6,50.279999999999994,52,98.11320754716981,0.16044998168945312,2026-02-16T17:05:41.119661,2026-02-16T17:05:41.280113,sa_INF295_run_06.csv
SA,INF295,7,50.00000000000001,52,98.11320754716981,0.17118382453918457,2026-02-16T17:05:41.280900,2026-02-16T17:05:41.452084,sa_INF295_run_07.csv
SA,INF295,8,50.05000000000001,52,98.11320754716981,0.15647101402282715,2026-02-16T17:05:41.452426,2026-02-16T17:05:41.608898,sa_INF295_run_08.csv
SA,INF295,9,50.05000000000001,52,98.11320754716981,0.14606738090515137,2026-02-16T17:05:41.609255,2026-02-16T17:05:41.755324,sa_INF295_run_09.csv
SA,INF295,10,50.15000000000002,53,100.0,0.1630392074584961,2026-02-16T17:05:41.755662,2026-02-16T17:05:41.918703,sa_INF295_run_10.csv
SA,INF295,11,50.25666666666667,53,100.0,0.16861319541931152,2026-02-16T17:05:41.919051,2026-02-16T17:05:42.087666,sa_INF295_run_11.csv
SA,INF295,12,51.23666666666665,53,100.0,0.1589040756225586,2026-02-16T17:05:42.088056,2026-02-16T17:05:42.246962,sa_INF295_run_12.csv
SA,INF295,13,50.279999999999994,52,98.11320754716981,0.1452648639678955,2026-02-16T17:05:42.247327,2026-02-16T17:05:42.392594,sa_INF295_run_13.csv
SA,INF295,14,50.279999999999994,52,98.11320754716981,0.1490330696105957,2026-02-16T17:05:42.392944,2026-02-16T17:05:42.541979,sa_INF295_run_14.csv
SA,INF295,15,50.00000000000001,52,98.11320754716981,0.16965603828430176,2026-02-16T17:05:42.542311,2026-02-16T17:05:42.711968,sa_INF295_run_15.csv
SA,INF295,16,50.00000000000001,52,98.11320754716981,0.15477705001831055,2026-02-16T17:05:42.712299,2026-02-16T17:05:42.867078,sa_INF295_run_16.csv
SA,INF295,17,51.23666666666665,53,100.0,0.16396021842956543,2026-02-16T17:05:42.867467,2026-02-16T17:05:43.031428,sa_INF295_run_17.csv
SA,INF295,18,50.733333333333356,53,100.0,0.16791009902954102,2026-02-16T17:05:43.031796,2026-02-16T17:05:43.199708,sa_INF295_run_18.csv
SA,INF295,19,50.596666666666664,53,100.0,0.15959978103637695,2026-02-16T17:05:43.200299,2026-02-16T17:05:43.359900,sa_INF295_run_19.csv
SA,INF295,20,50.00000000000001,52,98.11320754716981,0.1252453327178955,2026-02-16T17:05:43.360317,2026-02-16T17:05:43.485562,sa_INF295_run_20.csv
SA,INF295,21,50.279999999999994,52,98.11320754716981,0.15804600715637207,2026-02-16T17:05:43.485920,2026-02-16T17:05:43.643968,sa_INF295_run_21.csv
SA,INF295,22,50.25666666666669,53,100.0,0.1613321304321289,2026-02-16T17:05:43.644390,2026-02-16T17:05:43.805723,sa_INF295_run_22.csv
SA,INF295,23,50.596666666666664,53,100.0,0.16035199165344238,2026-02-16T17:05:43.806055,2026-02-16T17:05:43.966408,sa_INF295_run_23.csv
SA,INF295,24,50.00000000000001,52,98.11320754716981,0.15921282768249512,2026-02-16T17:05:43.966725,2026-02-16T17:05:44.125940,sa_INF295_run_24.csv
SA,INF295,25,51.23666666666665,53,100.0,0.16325092315673828,2026-02-16T17:05:44.126275,2026-02-16T17:05:44.289527,sa_INF295_run_25.csv
SA,INF295,26,50.279999999999994,52,98.11320754716981,0.1641380786895752,2026-02-16T17:05:44.289880,2026-02-16T17:05:44.454019,sa_INF295_run_26.csv
SA,INF295,27,50.279999999999994,52,98.11320754716981,0.12475013732910156,2026-02-16T17:05:44.454356,2026-02-16T17:05:44.579107,sa_INF295_run_27.csv
SA,INF295,28,50.673333333333346,53,100.0,0.15300416946411133,2026-02-16T17:05:44.579439,2026-02-16T17:05:44.732444,sa_INF295_run_28.csv
SA,INF295,29,50.25666666666667,53,100.0,0.14711499214172363,2026-02-16T17:05:44.732869,2026-02-16T17:05:44.879986,sa_INF295_run_29.csv
SA,INF295,30,50.733333333333356,53,100.0,0.16422319412231445,2026-02-16T17:05:44.880466,2026-02-16T17:05:45.044689,sa_INF295_run_30.csv
